日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260831,5658,日亜鋼業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,5659,日本精線,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,565A,ＦＦＦホールディングス,PRO Market,6050,卸売業,13,商社・卸売,-,-
20260831,566A,ｉＦｒｅｅＥＴＦ　ブルームバーグ日本株（除く金融）高配当５０指数,ETF・ETN,-,-,-,-,-,-
20260831,567A,ディープラス,PRO Market,6050,卸売業,13,商社・卸売,-,-
20260831,568A,ｉシェアーズ　シルバー　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260831,5695,パウダーテック,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,5697,サンユウ,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,5698,エンビプロ・ホールディングス,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,5699,イボキン,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,569A,ｉシェアーズ　プラチナ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260831,5702,大紀アルミニウム工業所,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5703,日本軽金属ホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5704,ＪＭＣ,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
